(cmaxtime)Running: Start Machine       	[ exec-time = 0.004 ms ]
(cmaxtime)Running: Boil Water          	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 2.023 s  ]
(cmaxtime)Running: Start Machine       	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Boil Water          	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 2.018 s  ]
(cmaxtime)Running: Start Machine       	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Boil Water          	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 2.019 s  ]
(cmaxtime)Running: Start Machine       	[ exec-time = 0.001 ms ]
(cmaxtime)Running: Boil Water          	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 2.020 s  ]
(cmaxtime)Running: Start Machine       	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 0.000 ms ]
(cmaxtime)Running: Start Machine       	[ exec-time = 0.001 ms ]
(cmaxtime)Running: Make Coffee         	[ exec-time = 0.001 ms ]
(cmaxtime)Running: Add Water           	[ exec-time = 1.000 s  ]
